HR and LR resolutions: (576, 384), (144, 96)
PSNR bicubic: 23.1048   PSNR nearest: 20.8212
Starting optimization with ADAM
Iteration 00156    PSNR_LR 22.093   PSNR_HR 19.621 
Iteration 00157    PSNR_LR 22.318   PSNR_HR 19.733 
Iteration 00158    PSNR_LR 22.147   PSNR_HR 19.621 
Iteration 00159    PSNR_LR 21.983   PSNR_HR 19.516 
Iteration 00160    PSNR_LR 21.460   PSNR_HR 19.119 
Iteration 00161    PSNR_LR 22.237   PSNR_HR 19.677 
Iteration 00162    PSNR_LR 21.993   PSNR_HR 19.586 
Iteration 00163    PSNR_LR 22.337   PSNR_HR 19.721 
Iteration 00164    PSNR_LR 22.340   PSNR_HR 19.724 
Iteration 00165    PSNR_LR 22.385   PSNR_HR 19.764 
Iteration 00166    PSNR_LR 22.172   PSNR_HR 19.659 
Iteration 00167    PSNR_LR 22.198   PSNR_HR 19.605 
Iteration 00168    PSNR_LR 22.492   PSNR_HR 19.831 
Iteration 00169    PSNR_LR 22.372   PSNR_HR 19.739 
Iteration 00170    PSNR_LR 22.310   PSNR_HR 19.655 
Iteration 00171    PSNR_LR 22.473   PSNR_HR 19.803 
Iteration 00172    PSNR_LR 22.565   PSNR_HR 19.866 
Iteration 00173    PSNR_LR 22.468   PSNR_HR 19.789 
Iteration 00174    PSNR_LR 22.521   PSNR_HR 19.849 
Iteration 00175    PSNR_LR 22.537   PSNR_HR 19.860 
Iteration 00176    PSNR_LR 22.579   PSNR_HR 19.882 
Iteration 00177    PSNR_LR 22.743   PSNR_HR 19.970 
Iteration 00178    PSNR_LR 22.826   PSNR_HR 20.067 
Iteration 00179    PSNR_LR 22.762   PSNR_HR 20.007 
Iteration 00180    PSNR_LR 22.790   PSNR_HR 20.038 
Iteration 00181    PSNR_LR 22.789   PSNR_HR 20.039 
Iteration 00182    PSNR_LR 22.774   PSNR_HR 20.048 
Iteration 00183    PSNR_LR 22.878   PSNR_HR 20.094 
Iteration 00184    PSNR_LR 22.887   PSNR_HR 20.067 
Iteration 00185    PSNR_LR 22.899   PSNR_HR 20.040 
Iteration 00186    PSNR_LR 22.965   PSNR_HR 20.105 
Iteration 00187    PSNR_LR 22.995   PSNR_HR 20.185 
Iteration 00188    PSNR_LR 22.869   PSNR_HR 20.079 
Iteration 00189    PSNR_LR 22.945   PSNR_HR 20.105 
Iteration 00190    PSNR_LR 23.044   PSNR_HR 20.177 
Iteration 00191    PSNR_LR 23.021   PSNR_HR 20.140 
Iteration 00192    PSNR_LR 23.130   PSNR_HR 20.207 
Iteration 00193    PSNR_LR 22.961   PSNR_HR 20.125 
Iteration 00194    PSNR_LR 22.945   PSNR_HR 20.082 
Iteration 00195    PSNR_LR 23.190   PSNR_HR 20.214 
Iteration 00196    PSNR_LR 23.033   PSNR_HR 20.125 
Iteration 00197    PSNR_LR 23.227   PSNR_HR 20.297 
Iteration 00198    PSNR_LR 23.096   PSNR_HR 20.175 
Iteration 00199    PSNR_LR 23.081   PSNR_HR 20.221 
Iteration 00200    PSNR_LR 22.675   PSNR_HR 19.874 
Iteration 00201    PSNR_LR 22.353   PSNR_HR 19.740 
Iteration 00202    PSNR_LR 22.856   PSNR_HR 20.076 
Iteration 00203    PSNR_LR 22.803   PSNR_HR 19.999 
Iteration 00204    PSNR_LR 22.965   PSNR_HR 20.151 
Iteration 00205    PSNR_LR 22.738   PSNR_HR 20.008 
Iteration 00206    PSNR_LR 23.139   PSNR_HR 20.195 
Iteration 00207    PSNR_LR 22.788   PSNR_HR 19.995 
Iteration 00208    PSNR_LR 23.041   PSNR_HR 20.191 
Iteration 00209    PSNR_LR 22.896   PSNR_HR 20.111 
Iteration 00210    PSNR_LR 23.306   PSNR_HR 20.289 
Iteration 00211    PSNR_LR 23.350   PSNR_HR 20.311 
Iteration 00212    PSNR_LR 23.176   PSNR_HR 20.250 
Iteration 00213    PSNR_LR 23.376   PSNR_HR 20.366 
Iteration 00214    PSNR_LR 23.040   PSNR_HR 20.010 
Iteration 00215    PSNR_LR 23.112   PSNR_HR 20.267 
Iteration 00216    PSNR_LR 23.326   PSNR_HR 20.342 
Iteration 00217    PSNR_LR 23.329   PSNR_HR 20.293 
Iteration 00218    PSNR_LR 22.427   PSNR_HR 19.912 
Iteration 00219    PSNR_LR 22.647   PSNR_HR 19.794 
Iteration 00220    PSNR_LR 22.834   PSNR_HR 19.922 
Iteration 00221    PSNR_LR 23.146   PSNR_HR 20.122 
Iteration 00222    PSNR_LR 23.188   PSNR_HR 20.192 
Iteration 00223    PSNR_LR 23.082   PSNR_HR 20.088 
Iteration 00224    PSNR_LR 23.171   PSNR_HR 20.132 
Iteration 00225    PSNR_LR 23.308   PSNR_HR 20.270 
Iteration 00226    PSNR_LR 23.252   PSNR_HR 20.183 
Iteration 00227    PSNR_LR 23.285   PSNR_HR 20.164 
Iteration 00228    PSNR_LR 23.338   PSNR_HR 20.244 
Iteration 00229    PSNR_LR 23.514   PSNR_HR 20.287 
Iteration 00230    PSNR_LR 23.290   PSNR_HR 20.138 
Iteration 00231    PSNR_LR 23.363   PSNR_HR 20.148 
Iteration 00232    PSNR_LR 23.544   PSNR_HR 20.227 
Iteration 00233    PSNR_LR 23.537   PSNR_HR 20.163 
Iteration 00234    PSNR_LR 23.468   PSNR_HR 20.098 
Iteration 00235    PSNR_LR 23.408   PSNR_HR 20.126 
Iteration 00236    PSNR_LR 23.551   PSNR_HR 20.268 
Iteration 00237    PSNR_LR 23.584   PSNR_HR 20.264 
Iteration 00238    PSNR_LR 23.664   PSNR_HR 20.319 
Iteration 00239    PSNR_LR 23.658   PSNR_HR 20.377 
Iteration 00240    PSNR_LR 23.788   PSNR_HR 20.435 
Iteration 00241    PSNR_LR 23.705   PSNR_HR 20.461 
Iteration 00242    PSNR_LR 23.656   PSNR_HR 20.411 
Iteration 00243    PSNR_LR 23.880   PSNR_HR 20.414 
Iteration 00244    PSNR_LR 23.777   PSNR_HR 20.373 
Iteration 00245    PSNR_LR 23.747   PSNR_HR 20.364 
Iteration 00246    PSNR_LR 23.766   PSNR_HR 20.239 
Iteration 00247    PSNR_LR 23.978   PSNR_HR 20.375 
Iteration 00248    PSNR_LR 23.895   PSNR_HR 20.332 
Iteration 00249    PSNR_LR 23.698   PSNR_HR 20.075 
Iteration 00250    PSNR_LR 23.885   PSNR_HR 20.269 
Iteration 00251    PSNR_LR 24.032   PSNR_HR 20.344 
Iteration 00252    PSNR_LR 24.080   PSNR_HR 20.471 
Iteration 00253    PSNR_LR 24.030   PSNR_HR 20.509 
Iteration 00254    PSNR_LR 24.167   PSNR_HR 20.537 
Iteration 00255    PSNR_LR 24.011   PSNR_HR 20.479 
Iteration 00256    PSNR_LR 24.040   PSNR_HR 20.515 
Iteration 00257    PSNR_LR 24.084   PSNR_HR 20.494 
Iteration 00258    PSNR_LR 24.298   PSNR_HR 20.571 
