PSNR bicubic: 11.8722   PSNR nearest: 11.8722
Starting optimization with ADAM
Iteration 00358    PSNR_LR 8.662   PSNR_HR 8.078 
Iteration 00359    PSNR_LR 8.668   PSNR_HR 8.064 
Iteration 00360    PSNR_LR 8.644   PSNR_HR 8.069 
Iteration 00361    PSNR_LR 8.668   PSNR_HR 8.102 
Iteration 00362    PSNR_LR 8.647   PSNR_HR 8.065 
Iteration 00363    PSNR_LR 8.660   PSNR_HR 8.086 
Iteration 00364    PSNR_LR 8.666   PSNR_HR 8.089 
Iteration 00365    PSNR_LR 8.669   PSNR_HR 8.079 
Iteration 00366    PSNR_LR 8.661   PSNR_HR 8.079 
Iteration 00367    PSNR_LR 8.673   PSNR_HR 8.098 
Iteration 00368    PSNR_LR 8.696   PSNR_HR 8.118 
Iteration 00369    PSNR_LR 8.687   PSNR_HR 8.119 
Iteration 00370    PSNR_LR 8.654   PSNR_HR 8.070 
Iteration 00371    PSNR_LR 8.698   PSNR_HR 8.123 
Iteration 00372    PSNR_LR 8.704   PSNR_HR 8.101 
Iteration 00373    PSNR_LR 8.680   PSNR_HR 8.070 
Iteration 00374    PSNR_LR 8.676   PSNR_HR 8.108 
Iteration 00375    PSNR_LR 8.692   PSNR_HR 8.097 
Iteration 00376    PSNR_LR 8.712   PSNR_HR 8.128 
Iteration 00377    PSNR_LR 8.708   PSNR_HR 8.130 
Iteration 00378    PSNR_LR 8.697   PSNR_HR 8.125 
Iteration 00379    PSNR_LR 8.733   PSNR_HR 8.146 
Iteration 00380    PSNR_LR 8.726   PSNR_HR 8.160 
Iteration 00381    PSNR_LR 8.703   PSNR_HR 8.119 
Iteration 00382    PSNR_LR 8.703   PSNR_HR 8.127 
Iteration 00383    PSNR_LR 8.732   PSNR_HR 8.166 
Iteration 00384    PSNR_LR 8.738   PSNR_HR 8.151 
Iteration 00385    PSNR_LR 8.733   PSNR_HR 8.136 
Iteration 00386    PSNR_LR 8.734   PSNR_HR 8.158 
Iteration 00387    PSNR_LR 8.748   PSNR_HR 8.147 
Iteration 00388    PSNR_LR 8.740   PSNR_HR 8.140 
Iteration 00389    PSNR_LR 8.736   PSNR_HR 8.142 
Iteration 00390    PSNR_LR 8.751   PSNR_HR 8.146 
Iteration 00391    PSNR_LR 8.719   PSNR_HR 8.153 
