HR and LR resolutions: (576, 384), (144, 96)
PSNR bicubic: 23.1048   PSNR nearest: 20.8212
Starting optimization with ADAM
Iteration 00252    PSNR_LR 23.953   PSNR_HR 20.659 
Iteration 00253    PSNR_LR 23.932   PSNR_HR 20.652 
Iteration 00254    PSNR_LR 23.882   PSNR_HR 20.676 
Iteration 00255    PSNR_LR 24.102   PSNR_HR 20.805 
Iteration 00256    PSNR_LR 24.222   PSNR_HR 20.842 
Iteration 00257    PSNR_LR 24.246   PSNR_HR 20.854 
Iteration 00258    PSNR_LR 24.005   PSNR_HR 20.719 
Iteration 00259    PSNR_LR 24.317   PSNR_HR 20.855 
Iteration 00260    PSNR_LR 24.279   PSNR_HR 20.810 
Iteration 00261    PSNR_LR 24.055   PSNR_HR 20.671 
Iteration 00262    PSNR_LR 22.742   PSNR_HR 20.124 
Iteration 00263    PSNR_LR 23.507   PSNR_HR 20.459 
Iteration 00264    PSNR_LR 23.708   PSNR_HR 20.477 
Iteration 00265    PSNR_LR 23.352   PSNR_HR 20.295 
Iteration 00266    PSNR_LR 23.998   PSNR_HR 20.696 
Iteration 00267    PSNR_LR 23.830   PSNR_HR 20.636 
Iteration 00268    PSNR_LR 23.663   PSNR_HR 20.577 
Iteration 00269    PSNR_LR 23.967   PSNR_HR 20.746 
Iteration 00270    PSNR_LR 23.873   PSNR_HR 20.695 
Iteration 00271    PSNR_LR 24.022   PSNR_HR 20.717 
Iteration 00272    PSNR_LR 23.694   PSNR_HR 20.558 
Iteration 00273    PSNR_LR 23.690   PSNR_HR 20.572 
Iteration 00274    PSNR_LR 24.159   PSNR_HR 20.653 
Iteration 00275    PSNR_LR 23.883   PSNR_HR 20.501 
Iteration 00276    PSNR_LR 24.065   PSNR_HR 20.586 
Iteration 00277    PSNR_LR 24.002   PSNR_HR 20.546 
Iteration 00278    PSNR_LR 24.046   PSNR_HR 20.593 
Iteration 00279    PSNR_LR 24.139   PSNR_HR 20.660 
Iteration 00280    PSNR_LR 24.287   PSNR_HR 20.739 
Iteration 00281    PSNR_LR 23.999   PSNR_HR 20.537 
Iteration 00282    PSNR_LR 24.284   PSNR_HR 20.685 
Iteration 00283    PSNR_LR 24.287   PSNR_HR 20.751 
Iteration 00284    PSNR_LR 24.412   PSNR_HR 20.715 
