Number of params: 2217831
Starting optimization with ADAM
Iteration 00161    Loss 0.015134   PSNR_noisy: 18.200373   PSRN_gt: 22.157364 PSNR_gt_sm: 19.706000 
Iteration 00162    Loss 0.015054   PSNR_noisy: 18.223361   PSRN_gt: 22.209158 PSNR_gt_sm: 19.748479 
Iteration 00163    Loss 0.014916   PSNR_noisy: 18.263501   PSRN_gt: 22.300267 PSNR_gt_sm: 19.790928 
Iteration 00164    Loss 0.014878   PSNR_noisy: 18.274633   PSRN_gt: 22.346080 PSNR_gt_sm: 19.833806 
Iteration 00165    Loss 0.014789   PSNR_noisy: 18.300752   PSRN_gt: 22.415493 PSNR_gt_sm: 19.876662 
Iteration 00166    Loss 0.014846   PSNR_noisy: 18.283854   PSRN_gt: 22.366621 PSNR_gt_sm: 19.918425 
Iteration 00167    Loss 0.014814   PSNR_noisy: 18.293169   PSRN_gt: 22.395835 PSNR_gt_sm: 19.960112 
Iteration 00168    Loss 0.014748   PSNR_noisy: 18.312625   PSRN_gt: 22.439511 PSNR_gt_sm: 20.000680 
Iteration 00169    Loss 0.014686   PSNR_noisy: 18.330835   PSRN_gt: 22.500905 PSNR_gt_sm: 20.041980 
Iteration 00170    Loss 0.014760   PSNR_noisy: 18.309121   PSRN_gt: 22.432593 PSNR_gt_sm: 20.083869 
Iteration 00171    Loss 0.014687   PSNR_noisy: 18.330679   PSRN_gt: 22.485508 PSNR_gt_sm: 20.125057 
Iteration 00172    Loss 0.014753   PSNR_noisy: 18.311307   PSRN_gt: 22.434108 PSNR_gt_sm: 20.165337 
Iteration 00173    Loss 0.014749   PSNR_noisy: 18.312310   PSRN_gt: 22.438871 PSNR_gt_sm: 20.204930 
Iteration 00174    Loss 0.014643   PSNR_noisy: 18.343744   PSRN_gt: 22.517372 PSNR_gt_sm: 20.243691 
Iteration 00175    Loss 0.014805   PSNR_noisy: 18.295822   PSRN_gt: 22.400362 PSNR_gt_sm: 20.281277 
Iteration 00176    Loss 0.014671   PSNR_noisy: 18.335378   PSRN_gt: 22.511157 PSNR_gt_sm: 20.320110 
Iteration 00177    Loss 0.014584   PSNR_noisy: 18.361110   PSRN_gt: 22.567778 PSNR_gt_sm: 20.359627 
Iteration 00178    Loss 0.014699   PSNR_noisy: 18.327168   PSRN_gt: 22.467883 PSNR_gt_sm: 20.398800 
Iteration 00179    Loss 0.014610   PSNR_noisy: 18.353528   PSRN_gt: 22.536141 PSNR_gt_sm: 20.438794 
Iteration 00180    Loss 0.014562   PSNR_noisy: 18.367853   PSRN_gt: 22.603050 PSNR_gt_sm: 20.479426 
Iteration 00181    Loss 0.014626   PSNR_noisy: 18.348644   PSRN_gt: 22.548040 PSNR_gt_sm: 20.518732 
Iteration 00182    Loss 0.014529   PSNR_noisy: 18.377709   PSRN_gt: 22.603391 PSNR_gt_sm: 20.556982 
Iteration 00183    Loss 0.014582   PSNR_noisy: 18.361701   PSRN_gt: 22.556827 PSNR_gt_sm: 20.593064 
Iteration 00184    Loss 0.014417   PSNR_noisy: 18.411213   PSRN_gt: 22.693363 PSNR_gt_sm: 20.629240 
Iteration 00185    Loss 0.014607   PSNR_noisy: 18.354262   PSRN_gt: 22.541197 PSNR_gt_sm: 20.665141 
Iteration 00186    Loss 0.014488   PSNR_noisy: 18.390016   PSRN_gt: 22.641571 PSNR_gt_sm: 20.703210 
Iteration 00187    Loss 0.014429   PSNR_noisy: 18.407666   PSRN_gt: 22.683159 PSNR_gt_sm: 20.740211 
Iteration 00188    Loss 0.014334   PSNR_noisy: 18.436368   PSRN_gt: 22.765825 PSNR_gt_sm: 20.777276 
